"district","type","name","address","tel","website","twd97E","twd97N","update_date"
"石門區","國民小學","市立石門國小","新北市石門區尖鹿里中央路9號","02-26381263","www.smes.ntpc.edu.tw","307074.89071","2798270.65252","2017-07-17 06:00:00.627"
"石門區","國民小學","市立老梅國小","新北市石門區老梅里老梅路10號","02-26381258","www.lmes.ntpc.edu.tw","304845.85421","2797889.54369","2017-07-17 06:00:00.627"
"石門區","國民小學","市立乾華國小","新北市石門區茂林里茂林社區74號","02-26381269","www.cwes.ntpc.edu.tw","309632.90364","2795681.91728","2017-07-17 06:00:00.627"
"石門區","國民中學","市立石門國中","新北市石門區中央路1之9號","02-26381273","www.smjh.ntpc.edu.tw","306768.88713","2798167.55868999","2017-07-17 06:00:00.627"
"三芝區","公所","三芝區公所","新北市三芝區中山路一段32號","02-26362111","www.sanzhi.ntpc.gov.tw","300476.902","2794431.001","2017-07-17 06:00:00.627"
"三芝區","戶政事務所","新北市金山戶政事務所三芝區所","新北市三芝區中興街一段43號","02-26362889","www.sanzhi.ris.ntpc.gov.tw","300135.136","2794394.286","2017-07-17 06:00:00.627"
"三芝區","衛生所","新北市三芝區衛生所","新北市三芝區埔頭里中山路一段12號","02-26364850","sanzhi.health.ntpc.gov.tw","300441.0","2794496.0","2017-07-17 06:00:00.627"
"三芝區","警察機關","三芝分駐所","新北市三芝區埔頭里育英街27號","02-26362049","www.tamsui.police.ntpc.gov.tw","300486.0","2794402.0","2017-07-17 06:00:00.627"
"三芝區","警察機關","後厝派出所","新北市三芝區後厝里北勢子45之32號","02-26362052","www.tamsui.police.ntpc.gov.tw","297306.0","2793676.0","2017-07-17 06:00:00.627"
"三芝區","警察機關","興華派出所","新北市三芝區興華里田心子1號","02-26371425","www.tamsui.police.ntpc.gov.tw","300594.0","2788527.0","2017-07-17 06:00:00.627"
"三芝區","消防機關","新北市第三救災救護大隊三芝分隊","新北市三芝區埔頭里中山路一段10號","02-26362457","www.fire.ntpc.gov.tw","300426.601593","2794508.54297","2017-07-17 06:00:00.627"
"三芝區","其他機關","三芝區農會","新北市三芝區中山路一段6號","02-26363111","www.3g.org.tw/","300494.00012207","2794478.00012207","2017-07-17 06:00:00.627"
"三芝區","其他機關","新北市三芝區調解委員會","新北市三芝區中山路1段32號","02-26362111轉74","","300473.38671875","2794342.50128174","2017-07-17 06:00:00.627"
"三芝區","地區醫院","台安醫院","新北市三芝區興華里楓子林42之5號","02-26371600","www.doh.gov.tw/CHT2006/DM/DM2.aspx?now_fod_list_no=9206&class_no=1&level_no=3","300012.15366","2788964.92248","2017-07-17 06:00:00.627"
"三芝區","國民小學","市立三芝國小","新北市三芝區埔頭里育英街22號","02-26362005","www.sces.ntpc.edu.tw","300601.7928","2794396.59835","2017-07-17 06:00:00.627"
"三芝區","國民小學","市立橫山國小","新北市三芝區橫山里86號","02-26362473","www.hses.ntpc.edu.tw","303394.8515","2794534.57634","2017-07-17 06:00:00.627"
"三芝區","國民小學","市立興華國小","新北市三芝區興華里5號","02-26371336","www.hhes.ntpc.edu.tw","300532.78966","2788460.73249999","2017-07-17 06:00:00.627"
"三芝區","國民中學","市立三芝國中","新北市三芝區淡金路一段38號","02-26361807","www.szjh.ntpc.edu.tw","300492.78784","2794634.59297","2017-07-17 06:00:00.627"
"三芝區","大專院校","私立馬偕醫學院","新北市三芝區中正路三段46號","02-26360303","www.mmc.edu.tw","299958.4516","2794021.22756","2017-07-17 06:00:00.627"
"三芝區","大專院校","私立馬偕醫護管理專科學校三芝校區","新北市三芝區中正路三段42號","02-26366799","www.mkc.edu.tw","300106.9885","2793778.01721","2017-07-17 06:00:00.627"
"金山區","公所","金山區公所","新北市金山區中正路11號","02-24985965","www.jinshan.ntpc.gov.tw","314147.467","2790544.7","2017-07-17 06:00:00.627"
"金山區","戶政事務所","新北市金山戶政事務所","新北市金山區民生路67號","02-24982059","www.jinsan.ris.ntpc.gov.tw","314532.074","2790318.853","2017-07-17 06:00:00.627"
"金山區","衛生所","新北市金山區衛生所","新北市金山區大同里民生路59號","02-24982778","jinshan.health.ntpc.gov.tw","314604.0","2790351.0","2017-07-17 06:00:00.627"
"金山區","警察機關","中角派出所","新北市金山區永興里濆水7-2號","02-24982136","www.jinshan.police.ntpc.gov.tw","313585.32189851","2795024.56270319","2017-07-17 06:00:00.627"
"金山區","警察機關","金山分局","新北市金山區大同里民生路65號","02-24986544","www.jinshan.police.ntpc.gov.tw/","314569.0","2790350.0","2017-07-17 06:00:00.627"
"金山區","警察機關","金山交通分隊","新北市金山區金山區磺港路171之1號","02-24986538","www.jinshan.police.ntpc.gov.tw/","314885.0","2790761.0","2017-07-17 06:00:00.627"
"金山區","警察機關","金山派出所","新北市金山區大同里民生路65號","02-24982009","www.jinshan.police.ntpc.gov.tw/","314558.0","2790343.0","2017-07-17 06:00:00.627"
"金山區","警察機關","重光派出所","新北市金山區重和里茅埔頭8號","02-24080470","www.jinshan.police.ntpc.gov.tw","310876.0","2789909.0","2017-07-17 06:00:00.627"
"金山區","消防機關","新北市第六救災救護大隊金山分隊","新北市金山區五湖村南勢54號","02-24982519","www.fire.ntpc.gov.tw","313296.239334","2790400.12633","2017-07-17 06:00:00.627"
"金山區","其他機關","金山地區農會","新北市金山區中山路267號","02-24981100","","314461.00012207","2790260.00012207","2017-07-17 06:00:00.627"
"金山區","其他機關","金山區漁會","新北市金山區磺港里磺港54號","02-24981141","","315383.00012207","2791278.00012207","2017-07-17 06:00:00.627"
"金山區","其他機關","新北市金山區調解委員會","新北市金山區中正路11號","02-24984333","","313920.96887207","2790512.99108887","2017-07-17 06:00:00.627"
"金山區","地區醫院","臺大醫院金山分院","新北市金山區五湖里玉爐路7號","02-24989898","www.js.ntuh.gov.tw","313289.73765","2790242.95599999","2017-07-17 06:00:00.627"
"金山區","國民小學","市立三和國小","新北市金山區重和里六股林口38號","02-24080417","www.sanho.ntpc.edu.tw","310733.01988","2790154.84578","2017-07-17 06:00:00.627"
"金山區","國民小學","市立中角國小","新北市金山區萬壽里海興路49號","02-24982413","www.jjps.ntpc.edu.tw","313497.84261","2792514.86132","2017-07-17 06:00:00.627"
"金山區","國民小學","市立金山國小","新北市金山區美田里金包里街180號","02-24981125","www.ntpcses.ntpc.edu.tw","314144.83504","2790704.75813","2017-07-17 06:00:00.627"
"金山區","國民小學","市立金美國小","新北市金山區忠孝一路111號","02-24986503","www.gmes.ntpc.edu.tw","314082.83559","2790383.76146999","2017-07-17 06:00:00.627"
"金山區","高中職","市立金山高中","新北市金山區美田里文化二路2號","02-24982028","www.cshs.ntpc.edu.tw","314218.83438","2790834.75677999","2017-07-17 06:00:00.627"
"金山區","大專院校","私立法鼓大學","新北市金山區","","www.ddc.edu.tw/zh-tw","312123.18796","2793066.99799","2017-07-17 06:00:00.627"
"金山區","教育研究機構","中華佛學研究所","新北市金山區三界里14之5號","02-24987171","www.chibs.edu.tw","311840.66604","2792481.72085","2017-07-17 06:00:00.627"
"淡水區","公所","淡水區公所","新北市淡水區中山北路二段375號","02-26221020","www.tamsui.ntpc.gov.tw","294743.2519","2786571.6818","2017-07-17 06:00:00.627"
"淡水區","稅捐機關","財政部北區國稅局淡水稽徵所第一辦公室","新北市淡水區新生里中正路229之10號1樓","02-26251532","www.ntbna.gov.tw","293977.977888","2784979.86616","2017-07-17 06:00:00.627"
"淡水區","稅捐機關","財政部北區國稅局淡水稽徵所第二辦公室","新北市淡水區中正路199號1樓","02-26283266","www.ntbna.gov.tw","294282.484922","2784711.59887","2017-07-17 06:00:00.627"
"淡水區","稅捐機關","新北市政府稅捐稽徵處淡水分處","新北市淡水區中山北路二段375號3樓","02-26212001","www.tax.ntpc.gov.tw/core/main/inpage.php?pageId=158","294743.2519","2786571.6818","2017-07-17 06:00:00.627"
"淡水區","戶政事務所","新北市淡水戶政事務所","新北市淡水區中山北路二段375號2樓","02-26232830","www.tamsui.ris.ntpc.gov.tw","294743.2519","2786571.6818","2017-07-17 06:00:00.627"
"淡水區","地政事務所","新北市淡水地政事務所","新北市淡水區中山北路二段375號5、6樓","02-26219645","www.tamsui.land.ntpc.gov.tw","294743.2519","2786571.6818","2017-07-17 06:00:00.627"
"淡水區","衛生所","行政院農業委員會家畜衛生試驗所","新北市淡水區中正路376號","02-26212111","www.nvri.gov.tw","293560.0","2785338.0","2017-07-17 06:00:00.627"
"淡水區","衛生所","新北市淡水區衛生所","新北市淡水區中山路158號","02-26215620","tamsui.health.ntpc.gov.tw","294434.0","2784988.0","2017-07-17 06:00:00.627"
"淡水區","警察機關","中山路派出所","新北市淡水區中正東路40號","02-26212753","www.tamsui.police.ntpc.gov.tw","295304.0","2784163.0","2017-07-17 06:00:00.627"
"淡水區","警察機關","中正路派出所","新北市淡水區中正路320號","02-26212752","www.tamsui.police.ntpc.gov.tw","294006.0","2784989.0","2017-07-17 06:00:00.627"
"淡水區","警察機關","水源派出所","新北市淡水區水源里北新路二段19號","02-26200534","www.tamsui.police.ntpc.gov.tw","298187.0","2786450.0","2017-07-17 06:00:00.627"
"淡水區","警察機關","水碓派出所","新北市淡水區中山北路一段160號","02-26212491","www.tamsui.police.ntpc.gov.tw","294778.0","2785594.0","2017-07-17 06:00:00.627"
"淡水區","警察機關","竹圍派出所","新北市淡水區竹圍里民權路32號","02-28092831","www.tamsui.police.ntpc.gov.tw","296356.0","2781075.0","2017-07-17 06:00:00.627"
"淡水區","警察機關","淡水分局","新北市淡水區新生里中正路229號","02-26212069","www.tamsui.police.ntpc.gov.tw","294013.0","2784956.0","2017-07-17 06:00:00.627"
"淡水區","警察機關","淡水分局警備隊","新北市淡水區中正路318-1號2樓","02-26223617","www.tamsui.police.ntpc.gov.tw","294026.0","2784984.0","2017-07-17 06:00:00.627"
"淡水區","警察機關","淡水交通分隊","新北市淡水區中正東路40號","02-26225791","www.tamsui.police.ntpc.gov.tw","295320.0","2784156.0","2017-07-17 06:00:00.627"
"淡水區","警察機關","賢孝派出所","新北市淡水區賢孝里淡金路五段72號","02-28011505","www.tamsui.police.ntpc.gov.tw","295817.0","2791719.0","2017-07-17 06:00:00.627"
"淡水區","警察機關","興仁派出所","新北市淡水區興仁里興仁路93號","02-26236399","www.tamsui.police.ntpc.gov.tw","295537.0","2789971.0","2017-07-17 06:00:00.627"
"淡水區","消防機關","新北市第三救災救護大隊竹圍分隊","新北市淡水區民權路92號","02-28085242","www.fire.ntpc.gov.tw","296379.0","2780200.0","2017-07-17 06:00:00.627"
"淡水區","消防機關","新北市第三救災救護大隊淡水分隊","新北市淡水區新生街29號","02-26210140","www.fire.ntpc.gov.tw","294320.989633","2785223.68658","2017-07-17 06:00:00.627"
"淡水區","消防機關","新北市第三救災救護大隊滬尾分隊","新北市淡水區中正路15巷5號","02-26263961","www.fire.ntpc.gov.tw","294062.347009","2784846.1679433","2017-07-17 06:00:00.627"
"淡水區","其他機關","淡水區農會","新北市淡水區中正路42之1號","02-26202290","","294757.00012207","2784612.00012207","2017-07-17 06:00:00.627"
"淡水區","其他機關","淡水區漁會","新北市淡水區觀海路199號","02-28055000","","291111.00012207","2786480.00012207","2017-07-17 06:00:00.627"
"淡水區","其他機關","新北市淡水區調解委員會","新北市淡水區中山北路二段375號4樓","02-26221020","","294743.2519","2786571.6818","2017-07-17 06:00:00.627"
"淡水區","地區醫院","公祥醫院","新北市淡水區中山路38號","02-26217638","www.doh.gov.tw/CHT2006/DM/DM2.aspx?now_fod_list_no=9206&class_no=1&level_no=3","294788.77389","2784685.99813","2017-07-17 06:00:00.627"
"淡水區","地區醫院","公祥醫院病房部","新北市淡水區英專路21巷25號1樓","02-26217638","www.wretch.cc/blog/stopy96/28946620","294825.4603","2784656.15313","2017-07-17 06:00:00.627"
"淡水區","地區醫院","北新醫院","新北市淡水區忠寮里演戲埔腳1之2號","02-26209199","www.doh.gov.tw/CHT2006/DM/DM2.aspx?now_fod_list_no=9206&class_no=1&level_no=3","297923.88211","2787306.23135","2017-07-17 06:00:00.627"
"淡水區","地區醫院","泓安醫院","新北市淡水區下圭柔山91巷2號","02-26232681","www.doh.gov.tw/CHT2006/DM/DM2.aspx?now_fod_list_no=9206&class_no=1&level_no=3","294123.71986","2789222.98257","2017-07-17 06:00:00.627"
"淡水區","地區醫院","長青醫院","新北市淡水區糞箕湖1之5號","02-86260561","www.ecch.com.tw","298661.29773","2784833.9895","2017-07-17 06:00:00.627"
"淡水區","醫學中心","淡水馬偕醫院","新北市淡水區民生路45號","02-28094661","www.mmh.org.tw","296635.68295","2781264.43304","2017-07-17 06:00:00.627"
"淡水區","國民小學","市立中泰國小","新北市淡水區中和里北勢子5號","02-28012033","www.ctps.ntpc.edu.tw","298804.71742","2790738.77358999","2017-07-17 06:00:00.627"
"淡水區","國民小學","市立天生國小","新北市淡水區淡海路72巷26號","02-28052695","web.tisnes.ntpc.edu.tw","292844.9116","2785934.61773","2017-07-17 06:00:00.627"
"淡水區","國民小學","市立屯山國小","新北市淡水區淡金路五段111號","02-26214591","www.ttses.ntpc.edu.tw","295928.71569","2792155.06869","2017-07-17 06:00:00.627"
"淡水區","國民小學","市立文化國小","新北市淡水區文化里真理街6號","02-26212031","www.twhps.ntpc.edu.tw","294079.81796","2785140.20985999","2017-07-17 06:00:00.627"
"淡水區","國民小學","市立水源國小","新北市淡水區水源里北新路二段之5號","02-26211347","www.hyes.ntpc.edu.tw","298027.70561","2786466.84151999","2017-07-17 06:00:00.627"
"淡水區","國民小學","市立竹圍國小","新北市淡水區中正東路二段145號","02-28091475","www.cwps.ntpc.edu.tw","296396.70682","2782145.1381","2017-07-17 06:00:00.627"
"淡水區","國民小學","市立竹圍國小自強分校","新北市淡水區自強路33號","02-28093245","","296764.69828","2779758.10515999","2017-07-17 06:00:00.627"
"淡水區","國民小學","市立育英國小","新北市淡水區埤島里14號","02-26214390","www.yies.ntpc.edu.tw","294855.76679","2787731.22385999","2017-07-17 06:00:00.627"
"淡水區","國民小學","市立坪頂國小","新北市淡水區坪頂里坪頂路757號","02-86263105","www.pdes.ntpc.edu.tw","298779.71704","2783395.89035","2017-07-17 06:00:00.627"
"淡水區","國民小學","市立忠山國小","新北市淡水區忠山里椿子林16之8號","02-26216139","www.tcses.ntpc.edu.tw","298386.71107","2788070.81601999","2017-07-17 06:00:00.627"
"淡水區","國民小學","市立淡水國小","新北市淡水區協元里中山路160號","02-26212755","www.tsps.ntpc.edu.tw","294522.789","2785090.54773","2017-07-17 06:00:00.627"
"淡水區","國民小學","市立新市國小","新北市淡水區中山北路二段200號","02-26262141","www.xses.ntpc.edu.tw","294834.53031","2786488.05916","2017-07-17 06:00:00.627"
"淡水區","國民小學","市立新興國小","新北市淡水區新興街123號","02-26203646","www.shes.ntpc.edu.tw","294325.80261","2785803.56933999","2017-07-17 06:00:00.627"
"淡水區","國民小學","市立鄧公國小","新北市淡水區鄧公里學府路99號","02-26297121","www.dkes.ntpc.edu.tw","295259.74699","2784886.34432","2017-07-17 06:00:00.627"
"淡水區","國民小學","市立興仁國小","新北市淡水區興仁路101巷10號","02-26213783","www.shrens.ntpc.edu.tw","295433.73732","2789924.45213","2017-07-17 06:00:00.627"
"淡水區","國民中學","市立正德國中","新北市淡水區北新路109號","02-26205136","www.jdjh.ntpc.edu.tw","295112.75516","2785691.36154","2017-07-17 06:00:00.627"
"淡水區","國民中學","市立正德國中賢孝校區","新北市淡水區後洲子11號","02-28011146","www.jdjh.ntpc.edu.tw","295024.76006","2790856.47207","2017-07-17 06:00:00.627"
"淡水區","國民中學","市立淡水國中","新北市淡水區文化里真理街10號","02-26218821","www.tsjh.ntpc.edu.tw","294017.8239","2785270.55318999","2017-07-17 06:00:00.627"
"淡水區","完全中學","市立竹圍高中","新北市淡水區竹林路35號","02-28091557","www.zwhs.ntpc.edu.tw","296544.70338","2782036.13659999","2017-07-17 06:00:00.627"
"淡水區","完全中學","私立淡江高中","新北市淡水區真理街26號","02-26203850","www.tksh.ntpc.edu.tw","293926.82926","2785378.37863","2017-07-17 06:00:00.627"
"淡水區","高中職","市立淡水商工","新北市淡水區埤島里商工路307號","02-26203930","www.tsvs.ntpc.edu.tw","295684.72336","2786753.38426999","2017-07-17 06:00:00.627"
"淡水區","大專院校","私立台北海洋技術學院淡水校區","新北市淡水區濱海路三段150號","02-28102292","www.tcmt.edu.tw","292975.20808","2787120.30946","2017-07-17 06:00:00.627"
"淡水區","大專院校","私立真理大學台北校區","新北市淡水區真理街32號","02-26212121","www.au.edu.tw","293807.15848","2785380.81088999","2017-07-17 06:00:00.627"
"淡水區","大專院校","私立淡江大學淡水校園","新北市淡水區英專路151號","02-26215656","www.tku.edu.tw","295264.72477","2785205.35539","2017-07-17 06:00:00.627"
"淡水區","大專院校","私立聖約翰科技大學","新北市淡水區淡金路四段499號","02-28013131","www.sju.edu.tw","295333.74288","2791001.47517","2017-07-17 06:00:00.627"
"淡水區","教育研究機構","台灣綜合研究院","新北市淡水區中正東路二段27號29樓","02-88095688","www.tri.org.tw","296309.08898","2783211.62129","2017-07-17 06:00:00.627"
"淡水區","教育研究機構","美國基督教效力會基督書院","新北市淡水區自強路51號","02-28097661","www.christc.org.tw","296500.03929","2780337.33552","2017-07-17 06:00:00.627"
"淡水區","教育研究機構","財團法人聯合船舶設計發展中心淡水辦公室","新北市淡水區中正東路二段27號14樓","02-28085899","www.usddc.org.tw","296303.05986","2783217.65042999","2017-07-17 06:00:00.627"
"淡水區","捷運站","捷運竹圍站","新北市淡水區民權路50號","02-21812345","www.trtc.com.tw","296326.47736","2781052.07059","2017-07-17 06:00:00.627"
"淡水區","捷運站","捷運紅樹林站","新北市淡水區中正東路二段68號","02-21812345","www.trtc.com.tw","296259.64939","2782899.72517","2017-07-17 06:00:00.627"
"淡水區","捷運站","捷運淡水站","新北市淡水區中正路1號","02-21812345","www.trtc.com.tw","294838.15615","2784496.3026","2017-07-17 06:00:00.627"
"萬里區","公所","萬里區公所","新北市萬里區瑪鋉路151號","02-24922064","www.wanli.ntpc.gov.tw","319496.539","2785669.364","2017-07-17 06:00:00.627"
"萬里區","戶政事務所","新北市金山戶政事務所萬里區所","新北市萬里區瑪鋉路85之2號2樓","02-24922063","www.wanli.ris.ntpc.gov.tw","319423.385","2785570.795","2017-07-17 06:00:00.627"
"萬里區","衛生所","新北市萬里區衛生所","新北市萬里區瑪鋉路157號","02-24921117","wanli.health.ntpc.gov.tw","319520.0","2785708.0","2017-07-17 06:00:00.627"
"萬里區","警察機關","大鵬派出所","新北市萬里區大鵬里加投路81號","02-24982475","www.jinshan.police.ntpc.gov.tw","315162.0","2789468.0","2017-07-17 06:00:00.627"
"萬里區","警察機關","保安仁和分隊","新北市萬里區野柳里八斗60號","02-24983798","","317747.0","2788028.0","2017-07-17 06:00:00.627"
"萬里區","警察機關","保安第二總隊第二大隊第三中隊","新北市萬里區野柳里八斗60號","02-24982844","","317782.0","2788027.0","2017-07-17 06:00:00.627"
"萬里區","警察機關","保安警察第二總隊二大三中","新北市萬里區八斗60號","02-24982844","","316477.824","2788694.293","2017-07-17 06:00:00.627"
"萬里區","警察機關","保安警察第二總隊仁和分隊","新北市萬里區八斗60號","02-24983798","","316477.824","2788694.293","2017-07-17 06:00:00.627"
"萬里區","警察機關","保安警察第二總隊國聖分隊","新北市萬里區野柳里八斗60號","02-24985144","www.spsh.gov.tw","316477.824","2788694.293","2017-07-17 06:00:00.627"
"萬里區","警察機關","崁腳派出所","新北市萬里區崁腳里崁腳路38號","02-24922740","www.jinshan.police.ntpc.gov.tw","315598.0","2783700.0","2017-07-17 06:00:00.627"
"萬里區","警察機關","野柳派出所","新北市萬里區野柳里港西路9號","02-24922510","www.jinshan.police.ntpc.gov.tw","319013.0","2788511.0","2017-07-17 06:00:00.627"
"萬里區","警察機關","萬里分駐所","新北市萬里區瑪鋉路153號","02-24922122","www.jinshan.police.ntpc.gov.tw","319513.0","2785685.0","2017-07-17 06:00:00.627"
"萬里區","消防機關","新北市第六救災救護大隊萬里分隊","新北市萬里區景美里景美路16號","02-24922739","www.fire.ntpc.gov.tw","319231.524","2785188.223","2017-07-17 06:00:00.627"
"萬里區","其他機關","新北市萬里區調解委員會","新北市萬里區瑪鋉路151號","02-24922064轉207","","319456.80407714","2785596.76708984","2017-07-17 06:00:00.627"
"萬里區","其他機關","萬里區漁會","新北市萬里區野柳里港西56-1號","02-24921180","","319102.00012207","2788491.00012207","2017-07-17 06:00:00.627"
"萬里區","國民小學","市立大坪國小","新北市萬里區雙興里大坪路1號","02-24929461","www.dpps.ntpc.edu.tw","314388.83287","2784450.82317","2017-07-17 06:00:00.627"
"萬里區","國民小學","市立大坪國小溪底分校","新北市萬里區溪底里富士坪7號","","","312629.85787","2783209.94060999","2017-07-17 06:00:00.627"
"萬里區","國民小學","市立大鵬國小","新北市萬里區大鵬里加投路14號","02-24988131","www.tpes.ntpc.edu.tw","315586.82701","2789016.66603","2017-07-17 06:00:00.627"
"萬里區","國民小學","市立崁腳國小","新北市萬里區崁腳里崁腳路59號","02-24922037","www.kjps.ntpc.edu.tw","315495.82733","2783725.76232999","2017-07-17 06:00:00.627"
"萬里區","國民小學","市立野柳國小","新北市萬里區野柳里港東路167號","02-24922512","www.ylps.ntpc.edu.tw","319477.26367","2788707.40742","2017-07-17 06:00:00.627"
"萬里區","國民小學","市立萬里國小","新北市萬里區瑪鍊路18號","02-24922034","www.wlps.ntpc.edu.tw","319456.85024","2785452.50589","2017-07-17 06:00:00.627"
"萬里區","國民中學","市立萬里國中","新北市萬里區獅頭路24號","02-24922053","www.wljhs.ntpc.edu.tw","320051.85381","2785619.45432","2017-07-17 06:00:00.627"
"萬里區","高中職","私立中華商海","新北市萬里區瑪鍊路15號","02-24922119","www.chmvs.ntpc.edu.tw","319065.845394","2785683.49589","2017-07-17 06:00:00.627"
"萬里區","高中職","私立中華商業海事職業學校","新北市萬里區瑪鍊路15號","02-24922119","www.chmvs.ntpc.edu.tw","319065.84539","2785683.49588999","2017-07-17 06:00:00.627"
"八里區","公所","八里區公所","新北市八里區中山路二段356巷16號","02-26102621","www.bali.ntpc.gov.tw","290464.672","2782383.605","2017-07-17 06:00:00.627"
"八里區","戶政事務所","新北市五股戶政事務所八里區所","新北市八里區訊塘路39號","02-26102204","www.bali.ris.ntpc.gov.tw","290069.143","2782032.852","2017-07-17 06:00:00.627"
"八里區","衛生所","新北市八里區衛生所","新北市八里區舊城里舊城路16號","02-26012137","bali.health.ntpc.gov.tw","290320.0","2782126.0","2017-07-17 06:00:00.627"
"八里區","警察機關","八里分駐所","新北市八里區訊塘路37號","02-26101315","www.luzhou.police.ntpc.gov.tw","290080.0","2782006.0","2017-07-17 06:00:00.627"
"八里區","警察機關","基隆港務警察局台北派出所","新北市八里區商港路120號","02-86302082","","289549.424","2782563.909","2017-07-17 06:00:00.627"
"八里區","警察機關","龍源派出所","新北市八里區龍源里龍米路一段225號","02-26182245","www.lujhou.police.ntpc.gov.tw","295509.0","2780492.0","2017-07-17 06:00:00.627"
"八里區","消防機關","內政部消防署基隆港務消防隊臺北港分隊","新北市八里區商港路122號","02-26196151","www.klhfd.gov.tw","289492.66842138","2782626.33552673","2017-07-17 06:00:00.627"
"八里區","消防機關","新北市第三救災救護大隊八里分隊","新北市八里區中山路二段76號","02-26102718","www.fire.ntpc.gov.tw","291148.628392","2783100.01155","2017-07-17 06:00:00.627"
"八里區","消防機關","新北市第三救災救護大隊龍源分隊","新北市八里區龍源里龍米路一段225號","02-26181730","www.fire.ntpc.gov.tw","295511.914929","2780513.1118","2017-07-17 06:00:00.627"
"八里區","其他機關","八里區農會","新北市八里區中山路二段366號","02-26102996~8","","290428.00012207","2782290.00012207","2017-07-17 06:00:00.627"
"八里區","其他機關","新北市八里區調解委員會","新北市八里區中山路90號","02-26102621轉28","","291505.046875","2783287.70629883","2017-07-17 06:00:00.627"
"八里區","區域醫院","八里療養院","新北市八里區華富山33號","02-26101660","www.bali.mohw.gov.tw","291585.15169","2781935.84335999","2017-07-17 06:00:00.627"
"八里區","國民小學","市立八里國小","新北市八里區舊城里中山路二段338號","02-26102217","www.ples.ntpc.edu.tw","290627.65738","2782432.97719","2017-07-17 06:00:00.627"
"八里區","國民小學","市立大崁國小","新北市八里區忠八街2號","02-86305678","www.tkes.ntpc.edu.tw","292362.76239","2783605.20741999","2017-07-17 06:00:00.627"
"八里區","國民小學","市立米倉國小","新北市八里區龍米路二段129巷1號","02-26182202","www.mtes.ntpc.edu.tw","294902.76504","2782083.1318","2017-07-17 06:00:00.627"
"八里區","國民小學","市立長坑國小","新北市八里區長坑里25號","02-26102037","www.ckes.ntpc.edu.tw","289335.2402","2779738.20429999","2017-07-17 06:00:00.627"
"八里區","國民小學","私立聖心國小","新北市八里區龍米路一段261號","02-26182330","lshes.ntpc.edu.tw","295387.73987","2780685.25442","2017-07-17 06:00:00.627"
"八里區","國民中學","市立八里國中","新北市八里區荖阡坑路15號","02-26100606","www.pljhs.ntpc.edu.tw","290450.14482","2781261.12293","2017-07-17 06:00:00.627"
"八里區","高中職","私立聖心女中","新北市八里區龍米路一段263號","02-26182287","www.shgsh.ntpc.edu.tw","295159.75255","2780828.25748","2017-07-17 06:00:00.627"
"八里區","教育研究機構","中華穀類食品工業技術研究所","新北市八里區下罟子12之6號","02-26101010","www.cgprdi.org.tw","288562.96395","2781277.78967999","2017-07-17 06:00:00.627"
